,Rating,Title,Body
0,1.0,thick heated well weird chemical taste,weird chemical flavor even mac cheese maybe many preservatives sure thick heated well panera products anyway nothing like homemade soup thought would fit bill quick lunches remote schooling
1,3.0,four stars,best prepared broccoli cheedars
2,3.0,good restaurant,okay good restaurant
3,3.0,taste soup actual restraunt,excited taste soup find alternative eat home sadly disappointed dont get wrong best mediocre soup taste like soup panera recommend go restaurant get soup save time money
4,1.0,like,like big pieces broccoli stick restaurant version make sad really wanted taste fantastic
